trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,continuous_stops,area_id,service_area_radius
t_10131_b_none_tn_0,06:12:00,06:12:00,781715,1,,0,0,0,0,0,,
t_10131_b_none_tn_0,06:20:00,06:20:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10131_b_none_tn_0,06:22:00,06:22:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10131_b_none_tn_0,06:23:00,06:23:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10131_b_none_tn_0,06:24:00,06:24:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10131_b_none_tn_0,06:26:00,06:26:00,781740,6,,0,0,4858.20160798,0,0,,
t_10132_b_none_tn_0,06:22:00,06:22:00,781715,1,,0,0,0,0,0,,
t_10132_b_none_tn_0,06:30:00,06:30:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10132_b_none_tn_0,06:32:00,06:32:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10132_b_none_tn_0,06:33:00,06:33:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10132_b_none_tn_0,06:34:00,06:34:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10132_b_none_tn_0,06:36:00,06:36:00,781740,6,,0,0,4858.20160798,0,0,,
t_10133_b_none_tn_0,06:32:00,06:32:00,781715,1,,0,0,0,0,0,,
t_10133_b_none_tn_0,06:40:00,06:40:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10133_b_none_tn_0,06:42:00,06:42:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10133_b_none_tn_0,06:43:00,06:43:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10133_b_none_tn_0,06:44:00,06:44:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10133_b_none_tn_0,06:46:00,06:46:00,781740,6,,0,0,4858.20160798,0,0,,
t_10134_b_none_tn_0,06:42:00,06:42:00,781715,1,,0,0,0,0,0,,
t_10134_b_none_tn_0,06:50:00,06:50:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10134_b_none_tn_0,06:52:00,06:52:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10134_b_none_tn_0,06:53:00,06:53:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10134_b_none_tn_0,06:54:00,06:54:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10134_b_none_tn_0,06:56:00,06:56:00,781740,6,,0,0,4858.20160798,0,0,,
t_10135_b_none_tn_0,06:52:00,06:52:00,781715,1,,0,0,0,0,0,,
t_10135_b_none_tn_0,07:00:00,07:00:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10135_b_none_tn_0,07:02:00,07:02:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10135_b_none_tn_0,07:03:00,07:03:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10135_b_none_tn_0,07:04:00,07:04:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10135_b_none_tn_0,07:06:00,07:06:00,781740,6,,0,0,4858.20160798,0,0,,
t_10136_b_none_tn_0,07:02:00,07:02:00,781715,1,,0,0,0,0,0,,
t_10136_b_none_tn_0,07:10:00,07:10:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10136_b_none_tn_0,07:12:00,07:12:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10136_b_none_tn_0,07:13:00,07:13:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10136_b_none_tn_0,07:14:00,07:14:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10136_b_none_tn_0,07:16:00,07:16:00,781740,6,,0,0,4858.20160798,0,0,,
t_10137_b_none_tn_0,07:12:00,07:12:00,781715,1,,0,0,0,0,0,,
t_10137_b_none_tn_0,07:20:00,07:20:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10137_b_none_tn_0,07:22:00,07:22:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10137_b_none_tn_0,07:23:00,07:23:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10137_b_none_tn_0,07:24:00,07:24:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10137_b_none_tn_0,07:26:00,07:26:00,781740,6,,0,0,4858.20160798,0,0,,
t_10138_b_none_tn_0,07:22:00,07:22:00,781715,1,,0,0,0,0,0,,
t_10138_b_none_tn_0,07:30:00,07:30:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10138_b_none_tn_0,07:32:00,07:32:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10138_b_none_tn_0,07:33:00,07:33:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10138_b_none_tn_0,07:34:00,07:34:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10138_b_none_tn_0,07:36:00,07:36:00,781740,6,,0,0,4858.20160798,0,0,,
t_10139_b_none_tn_0,07:32:00,07:32:00,781715,1,,0,0,0,0,0,,
t_10139_b_none_tn_0,07:40:00,07:40:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10139_b_none_tn_0,07:42:00,07:42:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10139_b_none_tn_0,07:43:00,07:43:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10139_b_none_tn_0,07:44:00,07:44:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10139_b_none_tn_0,07:46:00,07:46:00,781740,6,,0,0,4858.20160798,0,0,,
t_10140_b_none_tn_0,07:42:00,07:42:00,781715,1,,0,0,0,0,0,,
t_10140_b_none_tn_0,07:50:00,07:50:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10140_b_none_tn_0,07:52:00,07:52:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10140_b_none_tn_0,07:53:00,07:53:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10140_b_none_tn_0,07:54:00,07:54:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10140_b_none_tn_0,07:56:00,07:56:00,781740,6,,0,0,4858.20160798,0,0,,
t_10141_b_none_tn_0,07:52:00,07:52:00,781715,1,,0,0,0,0,0,,
t_10141_b_none_tn_0,08:00:00,08:00:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10141_b_none_tn_0,08:02:00,08:02:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10141_b_none_tn_0,08:03:00,08:03:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10141_b_none_tn_0,08:04:00,08:04:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10141_b_none_tn_0,08:06:00,08:06:00,781740,6,,0,0,4858.20160798,0,0,,
t_10142_b_none_tn_0,08:02:00,08:02:00,781715,1,,0,0,0,0,0,,
t_10142_b_none_tn_0,08:10:00,08:10:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10142_b_none_tn_0,08:12:00,08:12:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10142_b_none_tn_0,08:13:00,08:13:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10142_b_none_tn_0,08:14:00,08:14:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10142_b_none_tn_0,08:16:00,08:16:00,781740,6,,0,0,4858.20160798,0,0,,
t_10143_b_none_tn_0,08:12:00,08:12:00,781715,1,,0,0,0,0,0,,
t_10143_b_none_tn_0,08:20:00,08:20:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10143_b_none_tn_0,08:22:00,08:22:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10143_b_none_tn_0,08:23:00,08:23:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10143_b_none_tn_0,08:24:00,08:24:00,781738,5,,0,0,4070.56927602859,0,0,,
t_10143_b_none_tn_0,08:26:00,08:26:00,781740,6,,0,0,4858.20160798,0,0,,
t_10144_b_none_tn_0,08:22:00,08:22:00,781715,1,,0,0,0,0,0,,
t_10144_b_none_tn_0,08:30:00,08:30:00,781732,2,,0,0,2279.23204828835,0,0,,
t_10144_b_none_tn_0,08:32:00,08:32:00,781734,3,,0,0,2970.72075796905,0,0,,
t_10144_b_none_tn_0,08:33:00,08:33:00,781736,4,,0,0,3364.79013336394,0,0,,
t_10144_b_none_tn_0,08:34:00,08:34:00,781738,5,,0,0,4070.56927602859,0,0,,
